feature,importance,model_name,target_used,importance_type,abs_importance
brand_Dell,63940602766430.14,Linear Regression_target,price,coefficient,63940602766430.14
brand_Lenovo,50256371573601.23,Linear Regression_target,price,coefficient,50256371573601.23
brand_Apple,49643930897436.24,Linear Regression_target,price,coefficient,49643930897436.24
brand_HP,47854099337202.61,Linear Regression_target,price,coefficient,47854099337202.61
brand_ASUS,46580568160091.9,Linear Regression_target,price,coefficient,46580568160091.9
brand_Acer,35913662684448.64,Linear Regression_target,price,coefficient,35913662684448.64
cpu_brand_Other,32576745732903.8,Linear Regression_target,price,coefficient,32576745732903.8
brand_MSI,29287523613592.945,Linear Regression_target,price,coefficient,29287523613592.945
no_info_cpu_brand,-27966359876658.84,Linear Regression_target,price,coefficient,27966359876658.84
brand_Microsoft,26538500774946.15,Linear Regression_target,price,coefficient,26538500774946.15
model_Other,-22317883681713.645,Linear Regression_target,price,coefficient,22317883681713.645
gpu_type_Missing_Info,-18157559134460.703,Linear Regression_target,price,coefficient,18157559134460.703
no_info_brand,17987633989526.582,Linear Regression_target,price,coefficient,17987633989526.582
model_Latitude,-14832057711004.066,Linear Regression_target,price,coefficient,14832057711004.066
model_MacBook Pro,-13622255470104.697,Linear Regression_target,price,coefficient,13622255470104.697
brand_is_rare,12653017710523.412,Linear Regression_target,price,coefficient,12653017710523.412
brand_Other,10909983274967.63,Linear Regression_target,price,coefficient,10909983274967.63
model_Precision,-10576432505930.344,Linear Regression_target,price,coefficient,10576432505930.344
model_MacBook Air,-10400809964262.793,Linear Regression_target,price,coefficient,10400809964262.793
gpu_type_Integrated,-10320756161490.383,Linear Regression_target,price,coefficient,10320756161490.383
model_Inspiron,-10002424334167.754,Linear Regression_target,price,coefficient,10002424334167.754
no_info_model,-9828358809707.406,Linear Regression_target,price,coefficient,9828358809707.406
cpu_brand_Intel,9658981224148.676,Linear Regression_target,price,coefficient,9658981224148.676
no_info_gpu,9090890807438.18,Linear Regression_target,price,coefficient,9090890807438.18
gpu_type_Dedicated,-8961479995393.91,Linear Regression_target,price,coefficient,8961479995393.91
model_ThinkPad,-7676220697560.919,Linear Regression_target,price,coefficient,7676220697560.919
model_MacBook Pro M1,-7374921142015.477,Linear Regression_target,price,coefficient,7374921142015.477
model_Nitro 5,-7323435985829.586,Linear Regression_target,price,coefficient,7323435985829.586
model_Vostro,-7263583072731.932,Linear Regression_target,price,coefficient,7263583072731.932
cpu_brand_AMD,7186137840164.875,Linear Regression_target,price,coefficient,7186137840164.875
model_ProBook,-7166650434520.185,Linear Regression_target,price,coefficient,7166650434520.185
model_Elitebook,-7113583358925.133,Linear Regression_target,price,coefficient,7113583358925.133
model_MacBook Air M1,-6897040643266.678,Linear Regression_target,price,coefficient,6897040643266.678
model_Latitude 14 7000,-6681483858141.716,Linear Regression_target,price,coefficient,6681483858141.716
model_Legion 5,-6475396110093.326,Linear Regression_target,price,coefficient,6475396110093.326
model_ThinkPad X1 Carbon,-6262303826969.566,Linear Regression_target,price,coefficient,6262303826969.566
model_Latitude E Series,-6189592148767.861,Linear Regression_target,price,coefficient,6189592148767.861
cpu_brand_Apple,5982857220602.953,Linear Regression_target,price,coefficient,5982857220602.953
model_Macbook air m4,-5733415147634.926,Linear Regression_target,price,coefficient,5733415147634.926
model_XPS 13,-5653710899694.897,Linear Regression_target,price,coefficient,5653710899694.897
model_MacBook Air M2,-5572838572322.672,Linear Regression_target,price,coefficient,5572838572322.672
model_TUF Gaming,-5490746552393.719,Linear Regression_target,price,coefficient,5490746552393.719
model_X Series,-5490746552393.707,Linear Regression_target,price,coefficient,5490746552393.707
model_Pavilion 15,-5490746552393.675,Linear Regression_target,price,coefficient,5490746552393.675
model_TUF Gaming F15,-5236574486510.132,Linear Regression_target,price,coefficient,5236574486510.132
model_Gaming Thin GF,-5149001926270.883,Linear Regression_target,price,coefficient,5149001926270.883
model_Elitebook 800,-5149001926270.763,Linear Regression_target,price,coefficient,5149001926270.763
model_Vivobook 15,-5149001926270.7295,Linear Regression_target,price,coefficient,5149001926270.7295
model_Aspire,-4876664545610.852,Linear Regression_target,price,coefficient,4876664545610.852
model_MacBook Pro M2,-4686154101287.41,Linear Regression_target,price,coefficient,4686154101287.41
model_IdeaPad,-4686154101287.043,Linear Regression_target,price,coefficient,4686154101287.043
model_ROG Strix,-4487422864642.523,Linear Regression_target,price,coefficient,4487422864642.523
model_Legion,-4171329287646.41,Linear Regression_target,price,coefficient,4171329287646.41
brand_Sony,2543983390021.4736,Linear Regression_target,price,coefficient,2543983390021.4736
brand_Toshiba,2444600830189.4097,Linear Regression_target,price,coefficient,2444600830189.4097
gpu_type_Apple SoC,-2417885314484.039,Linear Regression_target,price,coefficient,2417885314484.039
brand_LG,2340929773799.8896,Linear Regression_target,price,coefficient,2340929773799.8896
model_is_rare,1902400750888.2102,Linear Regression_target,price,coefficient,1902400750888.2102
brand_Gigabyte,1800879284634.131,Linear Regression_target,price,coefficient,1800879284634.131
cpu_brand_Qualcomm,1246283942636.6328,Linear Regression_target,price,coefficient,1246283942636.6328
cpu_brand_Microsoft SQ,428022471564.59766,Linear Regression_target,price,coefficient,428022471564.59766
gpu_tier_ord_filled,4.59765625,Linear Regression_target,price,coefficient,4.59765625
ram_gb,4.438703050740422,Linear Regression_target,price,coefficient,4.438703050740422
cpu_family_ord_filled,4.0625,Linear Regression_target,price,coefficient,4.0625
storage_gb,4.006758787960639,Linear Regression_target,price,coefficient,4.006758787960639
cpu_family_group_Intel Core i,-3.5390625,Linear Regression_target,price,coefficient,3.5390625
condition_score,2.580466110981477,Linear Regression_target,price,coefficient,2.580466110981477
no_info_cpu_tier,2.498298298193294,Linear Regression_target,price,coefficient,2.498298298193294
cpu_tier_encoded,2.175122256344067,Linear Regression_target,price,coefficient,2.175122256344067
